id_station,name,location,id_mrtline,mrtline,station_co,dcode,dname,lat,lng
BL01,สถานีท่าพระ,ยกระดับเหนือแยกท่าพระ ซึ่งเป็นจุดตัดระหว่างถนนจรัญสนิทวงศ์ ถนนเพชรเกษม และถนนรัชดาภิเษกฝั่งใต้,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1016,บางกอกใหญ่,13.7296593,100.4740885
BL02,สถานีจรัญฯ 13,ถนนจรัญสนิทวงศ์ บริเวณแยกพาณิชยการธนบุรี,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1016,บางกอกใหญ่,13.74005671,100.4707321
BL03,สถานีไฟฉาย,ถนนจรัญสนิทวงศ์ บริเวณด้านเหนือของแยกไฟฉาย,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1020,บางกอกน้อย,13.7557305,100.4693411
BL04,สถานีบางขุนนนท์,ถนนจรัญสนิทวงศ์ ระหว่างสี่แยกบางขุนนนท์,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1020,บางกอกน้อย,13.76334485,100.4733652
BL05,สถานีบางยี่ขัน,ถนนจรัญสนิทวงศ์ หน้าปากซอยจรัญสนิทวงศ์ 42 บริเวณหน้าตลาดอินดี้ปิ่นเกล้า,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1025,บางพลัด,13.77747388,100.4853472
BL06,สถานีสิรินธร,ยกระดับเหนือถนนจรัญสนิทวงศ์ กรุงเทพมหานคร,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1025,บางพลัด,13.783808,100.4932301
BL07,สถานีบางพลัด,ถนนจรัญสนิทวงศ์ บริเวณด้านหน้าธนาคารกสิกรไทย สาขาบางพลัด,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1025,บางพลัด,13.79238778,100.5048644
BL08,สถานีบางอ้อ,ถนนจรัญสนิทวงศ์บริเวณซอยจรัญสนิทวงศ์ 88,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1025,บางพลัด,13.79899246,100.5097903
BL09,สถานีบางโพ,ถนนประชาราษฎร์ สาย 2 บริเวณสี่แยกบางโพ,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1029,บางซื่อ,13.80640723,100.5211039
BL11,สถานีบางซื่อ,ใกล้สถานีรถไฟบางซื่อ ถนนเทอดดำริ,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1030,จตุจักร,13.80235091,100.5410375
